Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
323, 225, 113, 34, 112, 5, 51
324, 122, 17, 4, 15, 5, 51
325, 148, 61, 14, 60, 5, 51
326, 115, 48, 12, 47, 5, 51
327, 102, 26, 7, 25, 5, 51
328, 80, 5, 0, 0, 5, 51
329, 87, 7, 1, 5, 5, 51
330, 104, 28, 4, 26, 5, 51
331, 155, 66, 19, 65, 5, 51
332, 212, 149, 74, 148, 5, 51
333, 267, 195, 66, 194, 5, 51
334, 87, 9, 2, 7, 5, 51
335, 88, 12, 2, 10, 5, 51
336, 44, 7, 1, 5, 5, 51
337, 48, 7, 1, 5, 5, 51
338, 183, 78, 21, 77, 5, 51
339, 84, 9, 2, 7, 5, 51
340, 133, 54, 14, 52, 5, 51
341, 193, 92, 21, 90, 5, 51
342, 209, 105, 18, 103, 5, 51
343, 245, 174, 67, 173, 5, 51
344, 130, 47, 9, 46, 5, 51
345, 194, 65, 18, 64, 5, 51
346, 199, 74, 18, 72, 5, 51
347, 297, 245, 142, 243, 5, 51
348, 88, 19, 3, 17, 5, 51
349, 203, 106, 19, 104, 5, 51
350, 184, 66, 12, 64, 5, 51
351, 246, 128, 38, 126, 5, 51
352, 220, 132, 39, 130, 5, 51
353, 304, 244, 154, 243, 5, 51
354, 290, 220, 96, 217, 5, 51
355, 142, 57, 15, 55, 5, 51
356, 108, 17, 3, 12, 5, 51
357, 149, 49, 16, 47, 5, 51
358, 207, 91, 41, 87, 5, 51
359, 51, 7, 1, 5, 5, 51
360, 75, 11, 1, 6, 5, 51
361, 54, 7, 1, 5, 5, 51
362, 88, 31, 5, 29, 5, 51
363, 69, 25, 6, 23, 5, 51
364, 57, 7, 1, 5, 5, 51
365, 138, 14, 1, 9, 5, 51
366, 187, 102, 39, 101, 5, 51
367, 190, 98, 25, 97, 5, 51
368, 77, 18, 4, 17, 5, 51
369, 171, 70, 23, 69, 5, 51
370, 186, 91, 28, 90, 5, 51
371, 45, 13, 2, 11, 5, 51
372, 119, 46, 17, 45, 5, 51
373, 85, 42, 11, 41, 5, 51
374, 50, 5, 0, 0, 5, 51
375, 78, 23, 4, 22, 5, 51
376, 171, 70, 16, 69, 5, 51
377, 78, 24, 4, 22, 5, 51
378, 105, 46, 12, 45, 5, 51
379, 207, 106, 30, 105, 5, 51
380, 114, 18, 6, 17, 5, 51
381, 177, 64, 23, 63, 5, 51
382, 175, 67, 14, 66, 5, 51
383, 218, 127, 44, 126, 5, 51
384, 94, 27, 4, 25, 5, 51
385, 265, 179, 82, 178, 5, 51
386, 178, 74, 29, 73, 5, 51
387, 161, 60, 9, 58, 5, 51
388, 153, 49, 8, 47, 5, 51
389, 65, 9, 2, 7, 5, 51
390, 204, 99, 37, 98, 5, 51
391, 125, 13, 2, 11, 5, 51
392, 144, 19, 3, 17, 5, 51
393, 247, 145, 50, 144, 5, 51
394, 76, 14, 2, 11, 5, 51
395, 243, 136, 48, 134, 5, 51
396, 278, 172, 57, 167, 5, 51
397, 163, 77, 28, 75, 5, 51
398, 205, 72, 20, 70, 5, 51
399, 274, 175, 61, 173, 5, 51
400, 159, 41, 8, 39, 5, 51
401, 170, 79, 18, 78, 5, 51
402, 44, 7, 1, 5, 5, 51
403, 186, 80, 14, 79, 5, 51
404, 114, 27, 6, 26, 5, 51
405, 353, 272, 106, 269, 5, 51
406, 269, 155, 33, 153, 5, 51
407, 348, 289, 124, 288, 5, 51
408, 189, 90, 15, 89, 5, 51
409, 179, 71, 12, 69, 5, 51
410, 291, 165, 39, 163, 5, 51
411, 156, 50, 9, 49, 5, 51
412, 249, 163, 58, 162, 5, 51
413, 116, 39, 6, 37, 5, 51
414, 133, 37, 6, 35, 5, 51
415, 65, 7, 1, 5, 5, 51
416, 66, 7, 1, 5, 5, 51
417, 99, 16, 2, 14, 5, 51
418, 95, 7, 1, 5, 5, 51
419, 190, 123, 56, 122, 5, 51
420, 173, 79, 14, 77, 5, 51
421, 239, 124, 36, 123, 5, 51
422, 188, 97, 24, 96, 5, 51
423, 160, 64, 11, 63, 5, 51
424, 190, 115, 28, 113, 5, 51
425, 168, 85, 21, 84, 5, 51
426, 118, 22, 4, 21, 5, 51
427, 97, 7, 1, 5, 5, 51
428, 86, 22, 9, 21, 5, 51
429, 127, 43, 7, 42, 5, 51
430, 115, 31, 5, 30, 5, 51
431, 94, 13, 3, 11, 5, 51
432, 91, 7, 1, 5, 5, 51
433, 160, 72, 24, 71, 5, 51
434, 154, 52, 9, 51, 5, 51
435, 100, 13, 2, 11, 5, 51
436, 225, 132, 57, 131, 5, 51
437, 201, 104, 24, 103, 5, 51
