Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
441, 64, 14, 1, 11, 9, 161
442, 99, 30, 9, 22, 8, 161
443, 58, 8, 0, 0, 8, 161
444, 57, 9, 0, 0, 9, 179
445, 74, 11, 0, 0, 11, 181
446, 93, 28, 10, 17, 11, 181
447, 97, 17, 2, 6, 11, 181
448, 62, 11, 0, 0, 11, 181
449, 63, 13, 0, 0, 13, 181
450, 62, 17, 0, 0, 17, 181
451, 58, 25, 2, 24, 17, 181
452, 59, 23, 2, 17, 17, 181
453, 58, 17, 0, 0, 17, 181
454, 57, 18, 0, 0, 18, 181
455, 67, 20, 0, 0, 20, 181
456, 67, 16, 0, 0, 16, 181
457, 68, 18, 1, 12, 14, 181
458, 69, 14, 0, 0, 14, 181
459, 67, 14, 0, 0, 14, 181
460, 71, 14, 0, 0, 14, 181
461, 76, 28, 2, 16, 12, 181
462, 69, 11, 0, 0, 11, 181
463, 70, 11, 0, 0, 11, 181
464, 69, 12, 0, 0, 12, 199
465, 106, 30, 2, 16, 14, 201
466, 97, 33, 5, 19, 14, 201
467, 56, 14, 0, 0, 14, 201
468, 55, 14, 0, 0, 14, 201
469, 56, 21, 2, 14, 16, 201
470, 82, 20, 1, 19, 20, 201
471, 78, 20, 0, 0, 20, 201
472, 79, 20, 0, 0, 20, 201
473, 78, 20, 0, 0, 20, 201
474, 110, 39, 2, 18, 21, 201
475, 93, 38, 1, 15, 23, 201
476, 87, 19, 0, 0, 19, 201
477, 96, 30, 1, 13, 17, 201
478, 89, 17, 0, 0, 17, 201
479, 87, 17, 0, 0, 17, 201
480, 65, 17, 0, 0, 17, 201
481, 78, 25, 2, 20, 15, 201
482, 69, 32, 1, 18, 14, 201
483, 70, 14, 0, 0, 14, 201
484, 69, 15, 0, 0, 15, 219
485, 108, 22, 1, 15, 17, 221
486, 57, 7, 0, 0, 7, 221
487, 2, 2, 0, 0, 2, 1
488, 2, 2, 0, 0, 2, 1
489, 2, 2, 0, 0, 2, 1
490, 2, 2, 0, 0, 2, 1
491, 2, 2, 0, 0, 2, 1
492, 2, 2, 0, 0, 2, 1
493, 2, 2, 0, 0, 2, 1
494, 94, 4, 0, 0, 4, 259
495, 98, 37, 13, 32, 8, 261
496, 49, 9, 1, 3, 6, 261
497, 39, 5, 0, 0, 5, 241
498, 54, 12, 1, 7, 5, 241
499, 56, 18, 3, 11, 7, 319
500, 61, 11, 0, 0, 11, 321
501, 69, 20, 2, 17, 9, 321
502, 51, 8, 0, 0, 8, 321
503, 52, 8, 0, 0, 8, 321
504, 51, 9, 0, 0, 9, 321
505, 73, 14, 1, 3, 11, 321
506, 68, 10, 1, 3, 7, 321
507, 52, 5, 0, 0, 5, 321
508, 53, 5, 0, 0, 5, 321
509, 53, 6, 0, 0, 6, 339
510, 104, 8, 0, 0, 8, 341
511, 60, 10, 1, 6, 4, 341
512, 2, 2, 0, 0, 2, 1
513, 2, 2, 0, 0, 2, 1
514, 2, 2, 0, 0, 2, 1
515, 2, 2, 0, 0, 2, 1
516, 2, 2, 0, 0, 2, 1
517, 2, 2, 0, 0, 2, 1
518, 2, 2, 0, 0, 2, 1
519, 2, 2, 0, 0, 2, 1
520, 2, 2, 0, 0, 2, 1
521, 2, 2, 0, 0, 2, 1
522, 2, 2, 0, 0, 2, 1
523, 2, 2, 0, 0, 2, 1
524, 2, 2, 0, 0, 2, 1
525, 2, 2, 0, 0, 2, 1
526, 2, 2, 0, 0, 2, 1
527, 2, 2, 0, 0, 2, 1
528, 2, 2, 0, 0, 2, 1
529, 2, 2, 0, 0, 2, 1
